CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,780,"2,845.90","3,093.40",780,"21,200.00","4,76,710",0.35,0.40,"77,675",-0.25,0.40,42.35,"30,747","-2,796","65,802",
,2,-,-,103.23,-,-,390,"2,907.35","3,019.25",390,"21,250.00","1,95,715",0.35,0.40,"38,350",-0.25,0.40,41.66,"4,948",-124,"6,529",
,-,-,-,-,-,-,780,"2,742.20","2,993.35",780,"21,300.00","23,595",0.40,0.45,"16,380",-0.20,0.45,41.39,"4,984",-96,"13,104",
,-,-,-,-,-,-,780,"2,707.30","2,914.30",780,"21,350.00","29,185",0.40,0.45,"1,040",-0.30,0.40,40.28,784,-21,286,
,1,-,-,-,-,-,390,"2,751.25","2,867.20",65,"21,400.00","56,225",0.40,0.50,"10,790",-0.35,0.40,39.59,"3,303",366,"1,331",
,-,-,-,-,-,-,780,"2,558.35","2,821.95",780,"21,450.00","39,520",0.40,0.50,"1,755",-0.25,0.50,39.68,609,-7,590,
,8,-,5,58.31,"2,713.55",-257.80,390,"2,668.10","2,766.70",390,"21,500.00","26,130",0.45,0.50,"1,59,380",-0.35,0.45,38.61,"31,172","-7,361","34,935",
,-,-,-,-,-,-,780,"2,477.55","2,810.10",780,"21,550.00","1,690",0.45,0.50,390,-0.20,0.50,38.28,901,-9,356,
,1,-,-,-,-,-,390,"2,557.15","2,667.05",65,"21,600.00","1,755",0.50,0.55,650,-0.20,0.55,37.91,"2,190",-186,"2,861",
,-,-,-,-,-,-,780,"2,386.80","2,620.40",780,"21,650.00","7,865",0.45,0.55,260,-0.35,0.45,36.53,"1,194",28,237,
,-,-,-,-,-,-,780,"2,331.90","2,638.35",780,"21,700.00","19,435",0.50,0.60,"3,770",-0.30,0.50,36.18,"3,257",-60,"1,363",
,1,-,-,-,-,-,390,"2,407.65","2,541.90",780,"21,750.00","1,755",0.50,0.55,845,-0.35,0.50,35.49,"2,920",121,"1,879",
,1,-,-,-,-,-,"1,690","2,223.60","2,544.40","1,690","21,800.00","3,445",0.55,0.60,130,-0.30,0.55,35.10,"4,671",-52,"6,685",
,-,-,-,-,-,-,780,"2,202.75","2,443.15",780,"21,850.00","4,030",0.50,0.55,325,-0.20,0.55,34.40,616,-2,435,
,1,-,-,-,-,-,"1,690","2,141.30","2,338.20",780,"21,900.00","1,625",0.55,0.65,"3,250",-0.20,0.60,33.98,"4,322",-434,"1,308",
,1,-,-,-,-,-,390,"2,199.10","2,312.85",390,"21,950.00","7,670",0.50,0.70,"1,300",-0.30,0.55,33.00,"1,256",-74,676,
,291,-151,274,51.79,"2,219.95",-110.05,130,"2,200.05","2,217.15",65,"22,000.00","1,43,325",0.50,0.60,"81,965",-0.35,0.50,32.01,"60,645","-5,148","32,563",
