CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,"8,000.00",-,870,"11,267.20","13,066.80",300,"43,000.00",120,3.75,3.95,600,0.25,3.95,41.90,"1,868",224,"3,930",
,-,-,-,-,-,-,30,"11,112.30","12,541.75",300,"43,500.00",90,3.80,4.90,30,0.10,4.00,40.22,993,2,675,
,43,-,-,70.13,"12,162.00",-,30,"10,665.50","11,802.00",300,"44,000.00",240,4.20,4.25,420,-0.90,4.25,38.74,"1,554",281,"3,506",
,-,-,-,-,-,-,30,"10,197.35","11,537.10",300,"44,500.00",30,5.00,5.80,60,-,5.85,38.29,476,-5,255,
,-,-,-,-,-,-,30,"9,750.30","10,864.40",300,"45,000.00",570,5.95,9.00,300,-0.20,5.95,36.61,"2,325",-256,"3,301",
,-,-,-,-,-,-,300,"9,428.35","10,549.25",300,"45,300.00",840,6.00,7.45,600,-0.50,6.00,35.60,225,7,97,
,-,-,-,-,-,-,300,"9,331.40","10,447.40",300,"45,400.00",210,6.50,7.50,360,-0.25,7.50,36.13,212,5,180,
,-,-,-,-,-,-,30,"9,234.40","10,453.85",300,"45,500.00",600,6.05,9.90,300,-0.40,6.25,35.06,534,-47,216,
,-,-,-,-,-,-,300,"9,152.85","10,242.30",300,"45,600.00",30,6.50,8.50,600,0.50,7.00,35.15,136,3,33,
,-,-,-,-,-,-,300,"9,050.75","10,193.30",300,"45,700.00",600,5.50,10.40,300,-,6.60,34.58,4,-4,26,
,-,-,-,-,-,-,300,"8,968.90","10,066.65",300,"45,800.00",210,6.00,8.50,240,-0.60,6.75,34.32,243,1,72,
,-,-,-,-,-,-,300,"8,875.75","9,934.80",300,"45,900.00",600,5.95,9.00,150,-0.50,7.00,34.11,17,-,49,
,843,-25,26,39.23,"9,560.00",-669.00,870,"8,639.30","9,483.70",30,"46,000.00",300,6.80,7.20,780,-0.65,6.80,33.65,"1,408",-44,"1,833",
,-,-,-,-,-,-,300,"8,695.50","9,729.80",300,"46,100.00",300,6.45,17.30,600,2.75,10.25,34.93,63,-3,49,
,-,-,-,-,-,-,300,"8,601.40","9,631.20",300,"46,200.00",300,7.00,10.80,330,-1.30,7.30,33.22,3,-3,44,
,-,-,-,-,-,-,300,"8,512.00","9,533.25",300,"46,300.00",300,6.35,15.90,600,-1.80,7.40,32.92,2,1,41,
,-,-,-,-,-,-,300,"8,419.45","9,424.15",300,"46,400.00",300,6.45,10.50,600,-2.70,6.20,31.93,6,-1,41,
,108,-,25,58.83,"9,300.05","-1,299.95",300,"8,096.75","9,173.35",30,"46,500.00",300,5.75,7.80,210,-0.45,7.80,32.42,527,-56,705,
,-,-,-,-,-,-,300,"8,236.00","9,216.25",300,"46,600.00",300,6.60,15.40,30,-4.60,7.60,31.98,3,1,64,
,-,-,-,-,-,-,300,"8,145.25","9,116.65",300,"46,700.00",150,7.40,12.80,300,0.55,7.95,31.79,391,11,24,
,-,-,-,-,-,-,300,"8,052.95","9,017.20",300,"46,800.00",150,7.05,10.00,150,-2.20,10.80,32.62,2,2,7,
,-,-,-,-,-,-,300,"7,963.15","8,912.80",300,"46,900.00",150,7.20,11.00,90,-1.35,7.20,30.74,34,1,12,
,71,-,-,-,"7,707.45",-,30,"7,782.95","8,765.15",300,"47,000.00",360,8.15,8.50,60,-1.35,8.15,30.84,"2,774",87,"2,646",
,-,-,-,-,-,-,300,"7,509.90","8,705.00",300,"47,100.00",120,7.70,12.00,900,-1.65,7.70,30.29,118,30,155,
,-,-,-,-,-,-,30,"7,689.05","8,604.35",300,"47,200.00",300,7.60,8.90,30,-0.35,9.00,30.50,164,-3,53,
,-,-,-,-,-,-,300,"7,210.65","8,512.10",300,"47,300.00",270,8.10,16.80,300,-1.25,8.10,29.77,51,3,23,
,-,-,-,-,-,-,300,"7,152.30","9,203.65",300,"47,400.00","1,200",7.45,11.20,30,-1.95,9.25,29.90,10,-2,44,
,14,-,1,50.29,"8,250.00","-1,250.00",300,"7,042.35","8,176.40",30,"47,500.00",120,9.05,11.20,30,-0.80,10.55,30.03,"2,336",-240,"1,447",
,-,-,-,-,-,-,30,"7,256.85","8,240.55",300,"47,600.00","2,400",7.65,17.20,300,-1.75,9.50,29.29,33,-24,11,
,-,-,-,-,-,-,300,"6,874.95","8,141.15",300,"47,700.00","1,800",7.65,19.60,600,-1.35,10.15,29.18,52,21,40,
,-,-,-,-,-,-,30,"7,045.15","8,048.85",300,"47,800.00","3,000",7.65,15.00,300,-1.70,10.85,29.06,138,87,121,
,-,-,-,-,-,-,30,"6,962.95","7,896.05",300,"47,900.00","3,600",8.15,20.00,600,-1.05,10.75,28.68,486,42,62,
,298,-5,17,36.94,"7,608.60",-641.40,870,"6,810.85","7,488.30",120,"48,000.00",60,11.90,12.00,90,-1.80,11.60,28.60,"8,704",-842,"5,110",
,-,-,-,-,-,-,300,"6,565.45","7,689.60",300,"48,100.00","2,400",10.35,16.00,900,-2.70,10.40,27.85,101,7,42,
,-,-,-,-,-,-,300,"6,362.50","7,606.35",300,"48,200.00","1,800",10.65,18.00,780,0.60,12.80,28.24,273,23,53,
,-,-,-,-,-,-,30,"6,598.80","7,507.20",300,"48,300.00","1,800",11.45,24.60,300,-3.75,12.70,27.85,339,23,123,
,-,-,-,-,-,-,300,"6,259.80","7,411.45",300,"48,400.00","1,200",12.35,19.75,900,0.40,14.25,27.92,224,-67,20,
,13,-,-,25.01,"8,150.00",-,300,"6,244.95","8,065.05",300,"48,500.00",150,13.25,15.45,150,0.40,15.25,27.81,"3,427",-103,"2,044",
,-,-,-,-,-,-,30,"6,240.15","7,203.45",300,"48,600.00",150,14.00,17.10,150,-1.40,16.05,27.64,56,-18,7,
,-,-,-,-,-,-,300,"5,910.50","8,047.75",300,"48,700.00",150,14.85,18.00,150,-0.20,16.90,27.47,32,1,43,
,-,-,-,-,-,-,300,"5,948.20","7,026.55",300,"48,800.00",150,15.20,18.20,150,2.20,17.10,27.14,49,-1,31,
,7,-,-,-,"7,361.00",-,30,"6,253.95","6,821.20","1,170","48,900.00",150,16.20,19.10,150,0.90,17.90,26.94,31,5,46,
,88,-,-,-,"7,199.00",-,30,"6,299.30","6,561.25",30,"49,000.00",150,18.20,18.50,30,0.95,18.45,26.69,"19,158","4,247","13,185",
,7,-,-,-,"7,244.00",-,300,"5,652.95","6,630.50",300,"49,100.00",150,18.45,21.20,150,-0.40,19.75,26.58,124,29,178,
,-,-,-,-,-,-,300,"5,476.75","6,629.70",300,"49,200.00",210,20.00,22.45,150,2.05,21.75,26.58,325,-64,303,
,-,-,-,-,-,-,30,"5,528.90","6,486.15",300,"49,300.00",150,21.65,23.95,150,0.85,22.15,26.27,61,16,108,
,2,-,-,-,"3,207.75",5.65,300,"5,435.65","7,425.70",300,"49,400.00",150,22.30,24.90,150,1.45,23.35,26.10,219,26,113,
,98,-3,3,-,"5,850.00","-1,000.00",90,"5,186.85","6,130.75",30,"49,500.00",150,24.50,27.50,180,5.60,26.40,26.21,"8,248","1,539","6,788",
,4,-,-,-,"5,849.00",-,30,"5,308.60","6,145.10",300,"49,600.00",150,25.05,27.75,150,4.80,27.05,25.93,257,6,144,
,-,-,-,-,-,-,30,"5,182.00","6,097.05",300,"49,700.00",150,26.05,30.50,30,2.70,27.70,25.63,152,14,167,
,3,-,-,-,"5,672.70",-,30,"5,251.70","5,958.30",300,"49,800.00",150,28.20,35.60,300,6.10,30.00,25.57,325,7,573,
,-,-,-,-,-,-,"1,170","4,785.50","5,880.15",300,"49,900.00",150,29.45,37.35,300,4.75,31.85,25.43,318,-36,303,
